node1,node2,weight,weight_rescaled
2차전지,MSCI,0.4541259864307837,1
2차전지,동박,0.3677152629297949,1
2차전지,바이오,0.3821167622417428,1
2차전지,배터리,0.4196741509093685,1
2차전지,수소,0.4076704777296495,1
2차전지,초전도체,0.5750148477581959,5
ESG,MSCI,0.40720901006769394,1
ESG,초전도체,0.3692217234589051,1
ESG,패션,0.3631779702467049,1
KB금융,KB금융그룹,0.5882782101653242,5
KB금융,SM엔터테인먼트,0.3793971742165133,1
KT,식품,0.43855781875750116,1
KT,코스맥스,0.40971762543375445,1
KT,쿠팡,0.367477203592677,1
LCC,마일리지,0.5403163866078792,5
LCC,항공기부품,0.8127381758436725,10
LH,건설,0.3880692852086454,1
LH,도시가스,0.37561414799179327,1
MSCI,동박,0.4417848149759539,1
MSCI,바이오,0.4625644290603952,1
MSCI,배터리,0.39382770030344205,1
MSCI,초전도체,0.4459592035725373,1
MSCI,화장품,0.3734438371830888,1
OLED,첨단기술,0.3606858026019206,1
SM엔터테인먼트,카카오뱅크/케이뱅크,0.46335267926328105,1
SM엔터테인먼트,부동산,0.3737571275950614,1
SM엔터테인먼트,엔터테인먼트,0.43028366868417794,1
SM엔터테인먼트,증권,0.401578626161197,1
SM엔터테인먼트,패션,0.39507798759726753,1
가계부채,대출,0.4657827569126968,1
건설,분양,0.3898959027683805,1
건설,주택,0.4402447719128656,1
게임,반도체,0.38803331125196416,1
게임,인공지능,0.3780312276166531,1
게임,패션,0.36265231449604574,1
게임,폴더블폰,0.36871065588431184,1
경상수지,정유,0.3713141781131381,1
금융,대출,0.5044953413603306,5
금융,카카오뱅크/케이뱅크,0.48083981388063485,1
금융,부동산,0.38347401183905355,1
금융,토스뱅크,0.36070560579893046,1
대출,카카오뱅크/케이뱅크,0.3915765073741948,1
대출,디폴트옵션,0.4193091844226623,1
대출,부동산,0.423252843910094,1
도시가스,전력,0.43227638843039223,1
도시가스,정유,0.3644244771953444,1
도시가스,천연가스,0.3771353787145014,1
동박,롯데케미칼,0.3801257481486437,1
동박,바이오,0.4743065456422568,1
동박,배터리,0.3772270183451075,1
동박,엔터테인먼트,0.39388592541029954,1
동박,중국기업,0.3843072946082682,1
동박,초전도체,0.44786407668411216,1
동박,패션,0.37993527427952845,1
카카오뱅크/케이뱅크,부동산,0.45686747483679535,1
카카오뱅크/케이뱅크,토스뱅크,0.4926300513975038,1
디폴트옵션,리츠,0.36018085149064993,1
디폴트옵션,부동산,0.4328315825240886,1
디폴트옵션,토스뱅크,0.3666720554748538,1
로봇,첨단기술,0.3671985275882595,1
롯데케미칼,백화점,0.3722743285762877,1
롯데케미칼,식품,0.4532130307143425,1
롯데케미칼,증권,0.41057598991450645,1
롯데케미칼,코스맥스,0.38480985786287253,1
롯데케미칼,해운,0.3967776094150524,1
리츠,부동산,0.36506553636954836,1
리츠,조각투자,0.4482129449065473,1
마일리지,항공기부품,0.4961211229747761,1
면세점,백화점,0.6673172872600325,10
모빌리티,수소,0.5546908694062432,5
모빌리티,중국기업,0.37893703037301363,1
모빌리티,현대차,0.731118679175118,10
바이오,초전도체,0.4336438010784294,1
바이오,코스맥스,0.37770538032689827,1
바이오,패션,0.3786683689574114,1
바이오,헬스케어,0.426309795580511,1
바이오,화장품,0.4608293479403083,1
반도체,수소,0.49940495529655765,1
반도체,현대차,0.370286922975526,1
배터리,수소,0.39288039600974833,1
배터리,중국기업,0.3928553912305404,1
배터리,초전도체,0.420245964126666,1
배터리,현대차,0.39065167066163115,1
백화점,식품,0.5190454954430704,5
백화점,쿠팡,0.4291105011289703,1
보험,토스뱅크,0.42309270696043366,1
부동산,조각투자,0.4082428110274471,1
부동산,토스뱅크,0.4004743021205315,1
분양,주택,0.5188288752779451,5
생체인식,화폐/금융자동화기기,0.5983726859092713,5
수소,현대차,0.6642195581336979,10
식품,코스맥스,0.5335419065004272,5
식품,쿠팡,0.501320329913965,5
식품,패션,0.39531729445147196,1
식품,해운,0.3790987698629185,1
식품,화장품,0.48911387322888367,1
엔터테인먼트,패션,0.42029507492214263,1
연료,유가 상승,0.399261930947208,1
연료,해운,0.4862322295555699,1
유가 상승,정유,0.5885359291570091,5
유가 상승,천연가스,0.39341025729060297,1
조각투자,증권,0.38451739904241383,1
증권,코스맥스,0.3642691505427673,1
증권,해운,0.3745688095886614,1
코스맥스,쿠팡,0.3903501721319144,1
코스맥스,헬스케어,0.40696009237337133,1
코스맥스,화장품,0.6425489870221066,10
쿠팡,패션,0.45627492709088496,1
쿠팡,해운,0.3614635700682831,1
패션,해운,0.37384592187602844,1
패션,화장품,0.3925892726668665,1
헬스케어,화장품,0.3741416900229827,1
