node1,node2,weight,weight_rescaled
ESG,에너지,0.4068171168053191,1
ESG,해저,0.37129122051262226,1
LH,건설,0.4098168852929215,1
LH,아파트,0.3912675491910605,1
LH,중소형,0.4541872574246912,1
LNG,니켈,0.46315791770380793,1
LNG,방위산업/전쟁 및 테러,0.3932514888295433,1
LNG,양극재,0.4113382069989406,1
LNG,유가,0.392938293132256,1
LNG,유류,0.49952505426790395,1
LNG,이차전지,0.5088852648238955,5
LNG,조선,0.4442901955041637,1
LNG,초전도체,0.40723779194470466,1
LNG,해저,0.4123487024116696,1
건설,매출,0.43827996264507957,1
건설,메리츠,0.41091643592923444,1
건설,바이오,0.3718557726225268,1
건설,보험,0.3985532038706876,1
건설,중소형,0.384390638299625,1
게임,벤처투자,0.40645192988999784,1
게임,앱마켓,0.45621784009905497,1
국제유가,석유,0.44452764805543343,1
국제유가,유가,0.7015780162689444,10
국제유가,유류,0.6142315755925678,10
금융자동화기기,대출,0.40805761647280314,1
금융자동화기기,뱅크,0.4021746922802237,1
금융자동화기기,은행,0.38371956991805906,1
니켈,배터리,0.5009394212315975,5
니켈,양극재,0.7381428572093823,10
니켈,에코,0.5481926057527855,5
니켈,이차전지,0.7511444681120902,10
니켈,전기차,0.4142902880733802,1
니켈,철강,0.4366595469723459,1
니켈,초전도체,0.5936616954570785,5
니켈,해저,0.5562516941430444,5
대출,뱅크,0.4949007085509497,1
대출,은행,0.4163155240313384,1
대출,주담대,0.5141200820538582,5
대출,토스증권,0.47363867572837015,1
디지털 콘텐츠,메리츠,0.3716710427143972,1
디지털 콘텐츠,뱅크,0.4059844245859389,1
디지털 콘텐츠,은행,0.37816050659146694,1
매출,메리츠,0.5062774542888441,5
매출,바이오,0.46457211480613947,1
매출,셀트리온,0.39114516784714837,1
매출,수출,0.37203621558373046,1
맥신,양극재,0.3803470587716211,1
맥신,초전도체,0.5055593266680213,5
맥신,해저,0.4400912693046874,1
메리츠,바이오,0.42489941607680953,1
메리츠,보험,0.5782749562431955,5
메리츠,셀트리온,0.39054754235624745,1
바이오,셀트리온,0.8206537852734038,10
바이오,합병,0.8148981934830775,10
반도체,스마트홈,0.3819648242355429,1
반도체,초전도체,0.3865529189667463,1
방위산업/전쟁 및 테러,초전도체,0.3934267997631763,1
배터리,양극재,0.3830025778550648,1
배터리,이차전지,0.48449677122897533,1
배터리,전기차,0.5374486085244831,5
배터리,초전도체,0.4397917256488671,1
배터리,현대차,0.49755934194214124,1
뱅크,은행,0.5307239586725894,5
뱅크,토스증권,0.5532960440433998,5
벤처투자,앱마켓,0.41177256524737915,1
벤처투자,중국기업,0.379709578339089,1
보험,은행,0.46090352887128483,1
부동산,아파트,0.4100269154487997,1
부동산,은행,0.3879804620879004,1
석유,유가,0.4657851323881373,1
석유,유류,0.42070670251632847,1
셀트리온,합병,0.823328427252406,10
스마트홈,태풍,0.6436708649356693,10
앱마켓,중국기업,0.4084520546352677,1
양극재,에코,0.5388100461757135,5
양극재,이차전지,0.7454718319667917,10
양극재,철강,0.41727015713675686,1
양극재,초전도체,0.6277989131533608,10
양극재,해저,0.5880301871315822,5
에너지,전기차,0.3976391073607387,1
에너지,초전도체,0.37014773723111777,1
에너지,태풍,0.37185584796425486,1
에너지,해저,0.4338244021295399,1
에코,이차전지,0.65089579556666,10
에코,초전도체,0.4780416111297122,1
에코,해저,0.3748239241589621,1
유가,유류,0.6218183616453593,10
유류,이차전지,0.40418557086769846,1
은행,주담대,0.4056046672563332,1
은행,토스증권,0.42558074554580755,1
이차전지,전기차,0.4392133296521207,1
이차전지,제약업체,0.38144035564155276,1
이차전지,철강,0.3819363742433565,1
이차전지,초전도체,0.6345979777011266,10
이차전지,해저,0.5136103132749867,5
자동차부품,철강,0.4485067448934825,1
자동차부품,현대차,0.4285965859039986,1
전기차,현대차,0.380434931413312,1
제약업체,합병,0.38256595771819085,1
제약업체,휴온스,0.43302127769429105,1
철강,해저,0.3768244754059026,1
초전도체,해저,0.6400407425221735,10
초전도체,현대차,0.37500784093039075,1
