일자,2차전지,5G,AI,IPO,LNG,거래량,건설,건설 중소형,게임,경기,경기 회복,경기부양,골프,광섬유,광통신,구리,금리,농업,동국제강,동원금속,디지털 광고,리츠,리튬,마이데이터,메모리 칩,무인이동체산업엑스포,바이오,반도체,배터리,보험,부동산,북한 광물자원개발,빅테크,소매유통,수출,스마트팩토리,신신제약 대웅제약,신약,알츠하이머,암호화폐,업,에너지,에너지저장장치,엔비디아,원유,원화강세수혜주,의료기기,의약품유통,이차전지,인수목적회사,인플레이션,자동차 대표주,자본 리쇼어링,자사주,재벌,전구체,전기차,전력,조선,주식,주식수 변동,중국,중국 기업,증권,증시,철강,코스닥,콜드체인,탄산,태양광,테크놀로지,파운드리,폴리우레탄,핀테크,항공기부품,해저케이블,해저터널,화장품,화학,환율하락
05/30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
05/31,102.06458827378033,100.5184605480973,99.44403701133719,99.09845499515129,98.57528789469188,101.03681733862008,99.07955905477775,99.24312092131507,99.531608727254,99.93852769854256,96.04751557288441,95.6989247311828,99.68976700718825,100.82341325250006,100.64226693664398,98.20585457979226,100.17035775127768,99.45945945945947,99.69050759494658,101.19362308277479,98.91426568018868,99.69245372298712,102.3928563309309,99.8027996915381,98.23132228541004,99.49357455452511,100.47040588341332,99.61603467549577,102.53821064927635,99.5035668911955,100.139690461496,98.37557590413665,98.44157029223837,99.27659842471942,98.6656194745774,100.68194216512505,99.84934538999534,100.45077167931096,100.37609820772727,100.01471684920418,99.31941574842558,98.55542306586997,102.62422847873431,98.80463407829103,99.6787521145587,99.4309884534798,100.22893975036695,98.82361386829515,103.1367736605202,99.62471920183043,98.57055626028225,99.96636109789094,99.75723988980229,99.08914974661519,99.83616496558498,102.71140314579159,100.1178294731608,99.56400978368117,98.55810745571199,99.74047020676869,99.35698967894594,98.82075471698113,96.47058823529412,100.47409641566844,99.58301769323853,100.04847842395155,101.70479209552236,103.2904187844922,99.72163199178276,100.07862943739873,99.37472984830075,98.75430045289241,99.63343670305372,101.36558807137487,100.23580034460021,98.19944598337949,97.15118022352678,99.49475529084513,98.50616280839753,100.67329772355764
06/01,102.64234757876831,99.91038388724273,101.61185216588282,99.65862718779516,98.12636091346074,99.98066827664759,98.9126470712987,98.89894040657016,99.34282864728073,101.10933824879862,101.06893465434707,97.20430107526882,100.38106791390385,101.039699444215,99.82865971081708,98.48914069877243,100.51107325383303,99.81981981981983,99.32075080853208,102.27557961932328,98.75356109601306,100.26422308833463,104.1576948475405,100.30061237154723,98.36925598567299,99.36896611822661,103.53508558266735,98.90272939783782,100.64760974592556,99.61620771755084,100.70549029066895,98.70906280274795,97.30359670832522,99.211600710071,97.98712746979696,99.96722701230807,103.65775796147696,103.5663009239951,100.97106532171749,101.58373516369804,100.10583750941025,101.1375150668222,103.41014416369796,100.45519991587679,97.63086185576839,98.38419875433334,103.9167780336241,99.39717126155846,102.88277222059892,99.93877831814864,100.08053474051535,98.52252420169243,100.10360947252278,99.45125399852945,99.89726624352151,103.60544907451377,98.59320148767021,99.31212507064309,97.97236090322022,98.99708860469126,99.15220717629558,98.70283018867924,97.6470588235294,99.17924082820394,98.78327433468381,100.4826140367467,100.77157370944927,105.25276598860094,100.5644969135201,102.88379922623174,100.03335452980997,98.073202159616,99.89674860607099,99.94647913761841,99.00247670350983,99.03047091412742,98.43282794955917,100.48016939651933,98.61888931869245,99.71779918938499
06/02,104.76432950421737,99.29431050982859,102.65530066321638,101.06153569690139,99.38946376265709,100.92097472754658,99.44760058459067,99.06887750718978,100.38586062958392,100.79308116361281,111.2501674737431,100.21505376344086,101.98496380704556,103.55573873566202,100.9633159247282,99.33899905571295,98.80749574105621,99.63963963963964,100.14284589370897,103.15784692989733,100.39232472279697,100.33491942602365,108.33295869786926,100.18467279747105,101.20170198376258,99.82796156592936,102.42418027091318,100.36353965819744,101.74792032856577,101.24886852971382,100.74269963540377,99.70185209472801,91.9450664637594,98.89561204938204,100.53641344197206,99.69119708488132,103.12751106568324,103.54899777199273,100.6607414540857,102.15311993892082,99.53606351386794,103.14835920150043,105.26692289788832,101.66725970343688,97.84912061118919,98.64772295889652,104.34067682353636,99.71390576815207,104.3063545553038,100.87441124348548,100.07610232521299,99.55095463056159,100.04157057403822,100.98641554533891,99.99583710323733,106.29586653827172,99.59388964442886,103.41967320297587,99.11097067902506,100.16157452720884,100.2048448965702,99.64622641509435,97.05882352941177,100.65426976056897,100.16678487364474,101.32260238675421,101.39891001521204,104.01713495981595,101.98271827595514,114.38243384784259,101.64466972319322,99.84473481711491,101.6657795971376,100.68744714703143,98.87865040504396,99.44598337950139,98.90584694907936,100.2356374028,102.05075132119394,99.63101975361938
06/05,106.19125870145707,101.1195200639749,103.46813392370547,103.81056478705082,104.0095562298792,102.094854986782,100.36030272763543,99.65260614559894,100.3424192017148,100.57445099667699,107.08152287311532,99.56989247311829,101.64874286294847,102.6215957061851,102.00656269938165,101.60528800755431,100.0,101.98198198198199,102.20155493555549,101.83976902596046,100.2603719040651,101.0165885656294,110.59868947105274,101.11296999863653,99.87508536950968,100.78004205186272,101.06860949778603,99.99296056058505,102.67744943822849,102.1387388856097,101.42823070493337,103.31980584369727,90.12998880575489,99.68231845027601,100.58411604099204,100.20755080942763,103.38762389376718,101.76412562947996,100.70384678471544,100.68430539083695,98.52788214387132,104.02915926794516,106.89929738358114,100.87436047149107,101.40901059371761,101.97977331104417,102.45221107468636,100.80511064393663,105.03349018775883,103.52362509235083,98.68481875693828,100.47001535875597,100.70202940297509,103.46100454664007,101.0463859758436,107.61245671016,100.25002339023395,104.05495617208092,104.42675609480581,100.9459525216057,101.4800844943301,101.06132075471699,95.88235294117648,101.2437532130772,99.71755951581085,103.77327012274864,101.02306957487777,101.91556685070786,102.53166827963905,113.14863420599065,104.59465376327725,99.16163350214075,103.37718670946019,102.01621948723594,99.9387401518614,98.47645429362882,98.34550407961451,100.24402859088872,102.8359074842483,100.92506802191143
06/07,110.40065466856943,99.57854159828821,107.85840133573592,104.27288070305669,105.44497019850006,102.17394043547836,100.1988941487696,99.74490679859399,100.4152980519127,99.40797792301929,109.21906071070535,101.93548387096773,101.89878283313112,103.07158751742405,101.5893568433456,100.84985835694052,98.29642248722317,103.24324324324323,102.25415617313762,101.3692306399727,100.76601235574967,101.32173857371947,112.01437340728187,100.94924246978707,99.9815655958299,103.55673405057888,99.75631221496099,99.8668040906166,104.92238673393226,102.57653008481424,101.84748770357248,104.43271096660152,90.78391557189799,99.09248866339738,100.37421990788167,100.6117940927271,102.8943133229836,101.40055865358401,100.09312615042565,100.79400770360311,97.36628577605774,107.5361723701152,109.43068521721331,102.95958060782422,101.77201615533255,104.4486523907561,102.2483022644136,100.41351651151267,112.82967154166938,103.56319509284491,98.06374778493885,97.26539218290401,100.9740887322774,103.86033642525602,101.1741006238134,110.50222341513577,99.76325981000076,106.3799534933927,104.87328449934859,101.20763574714971,101.86171687619532,103.30188679245282,96.47058823529412,101.12943275569224,99.30847304069133,104.43283087786928,104.43402205228685,100.87177607147308,103.18986792409201,136.62000914484577,105.23907615360454,98.1960741491078,105.1268099362214,101.80209930836659,101.76160886952448,98.89196675900277,98.86646732584786,100.5488863065261,105.75144866455817,104.69181293853073
06/08,109.7540464138322,97.14064850697588,104.54267235786425,104.87387296448196,106.8625522167352,101.82092250894854,99.50512383181503,99.82593509456537,99.66749301812304,99.17503771226288,105.65375207548794,96.55913978494624,101.49587353229299,103.18627710329122,100.58057564613286,101.51085930122757,93.52640545144804,102.52252252252252,101.55816511849052,100.98718256350392,99.22172926249844,101.10771211848208,111.46063509869515,100.01623864758531,100.74270039543963,102.08755826462502,98.54458447298714,99.480392384142,103.1657488319736,103.44737136450459,101.86524240408758,104.69104925059167,88.46174433301938,100.81101301846891,101.08402423825378,99.91327844243456,105.0737942980555,101.96615632308425,99.3892597928212,100.8752143773007,97.49875544562246,103.19995123486221,109.79368817807205,101.82041253045857,102.12530586990094,105.35300937508141,102.89571871881577,99.28682681326421,111.70563674888562,104.28467827964536,99.58979131623505,97.05169189296245,101.1710981817469,104.17939662942919,101.39313992830195,109.66482728434599,98.9604355184754,105.51906906916912,106.05280220269135,101.34667202693475,102.34462609381552,102.24056603773586,96.47058823529412,101.04589320337692,98.96107097715446,103.23194596252188,102.19571157473956,99.13758969837578,103.63653736935659,137.55706187115132,105.68210365809196,98.05542667704677,106.34058589491178,98.00777967275282,100.854213619347,99.03047091412742,100.4944305582243,99.75970408742599,104.11125157992504,105.59376803545528
06/09,110.37809192741538,97.28019501089634,105.9311139932292,104.49265949208836,107.51903897305759,102.13548888288548,100.10583626570066,99.603848056883,99.45472675184926,101.4250621627885,104.40820016725209,96.55913978494624,101.62860812222188,107.21235126133288,101.1216591366523,101.88857412653446,95.74105621805792,102.52252252252252,101.33541923885099,104.23215937053251,99.10938943531657,101.34573948485617,112.12803567041452,100.25012835581764,104.73454077618022,102.38906972846121,99.06123681411178,101.70225003350599,105.2973327321697,102.91486964494328,101.73644154226417,104.96500934161695,89.36631254706,100.99855728622016,100.30641623556369,100.01484073963755,104.58078902935284,102.11555037026652,99.81642747418593,100.47774149582926,99.91039252581186,104.43566970268219,110.93652135859875,103.46836265031432,101.80372790076117,105.00980112028246,102.71896572125485,100.50678930236077,112.7029157888547,103.37342613275806,104.56812770770524,97.83161104007357,101.15093896995515,103.90845156877629,101.20016110563297,110.14134471907207,100.12899639622384,107.06237415701739,104.66279885546498,101.87087097401243,102.26087046037023,100.47169811320755,97.6470588235294,101.80901238961187,101.19307315485482,103.72820508701075,103.27343898792223,99.81928913863761,104.0553038862714,136.81478701946185,105.10478931265943,99.57228353408053,107.31164527731467,97.4005113394137,101.5468000576521,105.95567867036011,105.5653514097232,100.12101702959097,105.48446155111748,106.61691758875693
06/12,111.93505679288836,96.85727704604416,103.1929644180666,105.0817376132913,107.5949460976099,101.49021865734285,99.4533376712772,98.79882112604093,99.21316430474253,100.93148686137059,101.93587895949095,94.6236559139785,100.90523971437267,107.82432946167123,100.65780140966301,107.83758262511805,95.05962521294718,103.06306306306305,100.35939654370247,104.42641090656547,99.3453967856039,101.5191320298495,113.71714780608191,99.77228654927931,103.85603993878563,100.28951317500312,97.60663645558587,100.78919470911025,106.12995505915184,102.54508892042003,101.77824295651392,105.59939944205125,91.31444755040876,99.89479922868045,100.47218513599007,100.44843689683702,103.94872730221154,100.42884644156737,97.95544174489758,105.88141455452327,99.31246887210929,104.69113953662821,110.379060556938,101.34382568581186,104.07904670615726,105.01871436670515,101.8644217767186,97.73674334356255,115.13036731166262,103.81204022715222,104.04802592003716,97.03770290812491,101.20715690582101,104.07713231282516,101.44067058501199,111.66856604740826,100.02360334630464,106.26867556947029,105.98118816762737,100.90698259170088,101.74500070253696,99.52830188679245,95.29411764705881,100.71389116691691,100.26540952969071,105.33094186850715,105.95160151417753,97.34516241761544,104.95960908586277,140.7540509233509,106.16495291588537,98.19847615517186,108.75463165442434,99.67263229843333,101.92309060399806,108.72576177285318,106.57730172000414,98.82701647703134,105.20915933702439,105.44848931380524
06/13,114.76613735226233,96.91083189235991,103.94489093637213,104.33934976919119,106.69390055168762,102.65437083620812,99.62729216959822,98.34753244159788,99.556816622024,101.98808729043039,100.55193239478444,94.6236559139785,98.86000634268298,109.45487673217555,100.93858431923638,115.3918791312559,96.59284497444634,102.52252252252252,100.09853948244563,104.51883598107669,99.15513984745684,101.01517888948777,114.86530322990276,100.04585394888711,105.89117727341275,100.97431407753616,96.47903308472652,101.72030123730458,106.38920175636493,101.014757339417,101.41590458141681,109.05554660458803,102.28835180704958,101.43922010229218,101.61248375997044,100.46712713144376,105.15610488786152,101.41716079767681,98.03755929138435,115.72243102136619,100.29653482031569,103.97009623599465,113.88294978852535,102.71247902910791,99.49184546551584,104.38787820554221,104.01828825250612,97.70303015843629,119.98630285782441,103.4424953286593,108.11120415572279,97.87803189946229,100.97732152429974,103.43151742188694,100.89396121169341,114.22107270545847,100.47835370290102,105.3463930613421,104.00519815352769,100.20395025493175,101.29993517272933,103.77358490566037,98.23529411764706,101.06991961051115,101.53655250530633,105.7686932872309,104.95918820116094,96.53884558345358,104.41169479477699,138.1136766211116,105.50417290679715,99.59073818574842,107.94994560469348,99.45948186739014,105.36186317912781,108.72576177285318,106.193747746299,98.41939796021965,104.08727186678628,106.51021739879172
06/14,107.4406635434795,96.62837300308459,101.43058689934519,104.82021928203102,107.46743125521611,101.9442233212111,98.74623964093216,97.71871052536756,98.44996155939666,100.05321356990125,96.65184038939593,89.6774193548387,99.22183772480928,106.0191112584945,98.85507112660356,106.98772426817753,96.08177172061329,105.04504504504504,96.9284037954726,104.87223497003994,97.88800909885026,99.99682821525764,109.55944386148062,98.44118893082577,102.32434575540377,99.9606836250789,95.78390349960023,100.86868756263993,102.57838269532624,100.52924791602041,100.71493526137061,111.99323447206129,99.99986929521,100.56956827378183,100.95270972666404,98.25409268148518,105.15366349738456,99.21598362852727,96.82441091093014,122.82997816222037,98.75198628874932,100.49973317000895,107.56508796075306,100.98548010810207,101.11366821503891,105.13216760118095,101.86116714507232,97.0902197282187,108.87110910428946,103.44078610006547,107.40218799990522,99.00487806982532,99.77321720880481,103.55538532148483,100.27100363327217,106.5889344809775,99.8389074754498,103.10327045292502,105.51187632492669,99.32777144512865,101.02593195305798,100.58962264150944,95.88235294117648,100.02531365740876,100.77454106819333,102.35358316054852,98.79398730949863,95.12128353089703,102.05569377912687,140.62778223446375,106.09025350622403,99.43760344456112,105.95328907274644,98.18677069212809,105.35566234069562,106.92520775623268,104.30381290408863,98.24757024974447,102.22399361115852,106.06275965853749
