일자,2차전지,ESG,KB금융,KB금융그룹,KT,LCC,LH,MSCI,OLED,SM엔터테인먼트,가계부채,건설,게임,경상수지,공기청정기,금융,니켈,대출,도시가스,동박,카카오뱅크/케이뱅크,디폴트옵션,로봇,롯데케미칼,리츠,마일리지,면세점,면역항암제,모빌리티,바이오,방위산업/전쟁 및 테러,배터리,백화점,벤처,보험,부동산,분양,비만 치료제,생체인식,수소,식품,엔터테인먼트,연료,유가 상승,인공지능,전력,정유,조각투자,주택,중국기업,증권,천연가스,첨단기술,초전도체,코스맥스,쿠팡,토스뱅크,패션,폴더블폰,항공기부품,해운,헬스케어,현대차,화장품,화폐/금융자동화기기,반도체
07/24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
07/25,101.44141419478095,98.23723357625956,100.0,99.64485351238609,99.28404080446197,93.36478329985931,100.67325370117017,106.65013651404998,98.15004831144323,98.89852780518993,97.05014749262537,99.9340256521292,97.82398402743392,98.80333001508608,98.23400697524497,99.6899705542095,98.93941487417175,99.46630266530535,105.67361003207063,102.39287623288477,97.74652370101722,99.25906416702533,94.68412513718086,99.43048637204718,101.55481549715945,96.12870213364424,98.59933516372207,96.898264644559,100.96324408163832,98.38215739823418,102.16048738669323,99.28493501957529,98.59314580141096,95.52675931083145,100.32329105853168,99.36168141087057,99.45863794117878,93.54583003388286,100.0,101.04284428452254,98.81186373498669,104.61908725968657,99.27185475704019,99.7857721784558,101.04876104515341,104.88358161071525,103.09022229785568,99.55902762443138,100.86642599277977,105.0974860809334,105.8686890517716,99.7973516004237,98.91481406204471,111.16642838984443,98.16994908891009,97.22188986623713,99.63009185004935,100.9049492407733,99.42678803308365,93.76032027641494,98.80620454678785,96.97316550710963,100.90414966644686,98.25276167579531,100.0,101.31736526946106
07/26,99.83265072028719,91.33461080304399,104.09233997901364,102.29849618806053,97.0636335020687,91.71407603790223,96.18897786126446,101.31696744172847,95.02972815938298,95.88990355861961,94.10029498525073,95.43665886265887,94.58737007323963,98.55272970218498,93.4357786585977,101.37567515433594,96.33818668120387,98.59500824692165,97.40784035151249,101.17495104709202,96.37538821794409,98.33569330358823,88.64097468754406,97.0332387694723,100.5247206947207,94.06682023550393,96.09567336981297,92.6585578802958,98.5151476809709,84.82784226308272,97.06250237837585,97.63157794056949,95.9195415383418,90.05113411177037,97.92101605473464,97.85450509095048,95.73018377696528,88.43484505634306,94.6843853820598,98.66013411967927,95.89945525870776,98.43186691284093,98.54552077146286,98.107991075893,94.96244707075418,98.08543349815173,102.26607822641192,98.57060691388246,93.79061371841155,98.14742565749007,102.89322866978661,96.99108180597243,95.37784093615701,106.37860750710732,95.02279222244933,93.96610520435095,97.26048415256186,96.66025625553564,99.12669829685602,91.95899614005464,98.5302806908352,92.69017955597128,98.40254770192261,94.59937519110375,94.6843853820598,98.92215568862277
07/27,97.03511711830663,91.05160738145256,108.49947534102833,107.10683900922015,98.1850172951257,93.37239214461519,97.4289881180597,90.83255501443797,96.44446057972654,101.4645269004492,97.6401179941003,96.8357865221881,99.03071433446559,101.44477312428015,94.64027522613064,105.5150411987504,92.51016236130197,98.24480619630519,98.11588267349998,96.74918698133493,101.94199196634679,97.40112672902616,92.48603646048569,101.88630902348585,99.96704355244536,96.10356252712087,101.81531137391676,94.8128131089506,98.65424579986816,87.53887755966421,96.87882194696144,90.95025657178628,99.91614945111398,92.08380813131295,100.7467223677309,98.68906422297083,95.73455807618465,93.1992277479589,96.67774086378738,99.29195615383823,98.8640530681978,101.34344241275075,97.15410077478877,99.39576539355033,95.93457731444613,99.59404793292488,96.07423561724025,99.08355065093014,96.46209386281589,96.8576017698328,103.54864467282606,99.07121826573155,105.45168396995874,89.67973633749567,99.16264834074896,96.66829537383055,99.57567483967881,100.13253987635449,101.84036267037098,93.77381947258677,97.4233142071184,96.27563769312123,98.58927815406715,99.15128434315952,96.67774086378738,99.52095808383234
07/28,97.5569755149849,91.96051462758767,107.24029380902414,106.08817326221704,96.80959460621904,93.86902164652801,99.21171557111565,96.56396384993741,96.72335554107451,101.56391882265045,98.82005899705014,97.40222521016581,98.86888024256672,100.8735325513441,96.98078581250256,103.49291927436062,94.89382605770278,98.11100181957106,101.25428870657034,97.64150795808563,101.4399096999993,97.74360536770111,94.63836443591079,101.57638495590402,100.43579275233232,95.75109735068676,100.32172021522099,98.08273418328939,99.23209481633414,88.40105107554741,95.42581685144988,91.46133824644507,99.00916960520323,94.01461787363111,101.26362647275766,98.11319090443799,96.14349201164832,97.15031933954043,100.83056478405317,100.57457910223573,97.5060662903937,101.56701513141428,100.86988520985585,99.86260794437241,99.91316592669168,100.68207318215269,97.24776920753482,98.75363920769244,96.38989169675091,98.25491656631146,104.00868729637958,99.89478242741409,107.4118563651008,96.67206346910324,100.5134534512251,98.43386893948185,99.57981690026587,102.01838276094273,100.28695364259106,94.3496524379466,101.09846520547296,97.88497428609024,99.15051049806445,100.63333101129028,100.83056478405317,100.83832335329342
07/31,98.58562368646302,93.49063244158032,107.03043022035676,106.19067461155385,96.63871631167126,94.00506233893854,102.29987843930952,102.10530893048696,96.3765501156948,103.19837562377423,98.82005899705014,99.42046705267835,100.73533293127821,101.77393797788383,96.94450223804377,103.6302564843387,96.08677037721809,98.50673870356462,102.57586901192113,106.06812776755947,103.27361738530685,97.7212139454512,97.43990997273771,102.53274341203256,100.30093274717491,95.91343008883358,101.15416662071914,99.65133868575933,98.28853263365487,91.32803700354366,98.11498003806155,94.5424058729786,100.04722327655826,94.63542000994576,100.9368763683625,98.44892427718904,97.03703636003583,97.09091942672045,99.83388704318938,99.03125458928756,98.73463076232775,103.02921308136466,102.99494287322864,100.88667290563427,104.41924579634126,101.25356851840792,107.37775387118454,99.42090144915863,96.82310469314079,104.36525563467623,105.85984183194522,102.0588690753097,107.0056108532759,101.323493089192,102.50362859890632,99.37158810631414,100.07407194712393,103.49906963448123,99.15181173686636,94.50927700440796,101.01519179144276,97.53589542020231,98.23097472424803,101.94668277448751,99.83388704318938,99.04191616766467
08/01,98.97406705883903,94.45990212212607,110.80797481636937,109.45975974513158,98.93975205882452,94.85116732945069,103.08984379271355,103.64118631762393,97.71303393911144,108.42357507292881,97.6401179941003,99.74759366141133,103.24669472250947,103.08791393455064,97.15337465966857,106.06683636217471,96.56968207585254,99.09206033601146,102.19219685660283,105.16901502362911,112.31810111920792,98.25732332571351,100.78670795235635,106.41209036374526,101.24037282909104,96.8484034102827,103.06697328140424,102.36666124760967,99.21458070833495,91.0805298649648,98.31152425324922,94.03956840243247,101.95691738690107,96.48839216907608,100.85395894204726,100.32270964617263,97.08651273976152,98.91774342079665,100.83056478405317,99.75537594502175,101.1579752416583,100.49818240475612,106.64902866338757,102.65675962823583,110.96349542637476,101.66826522582085,104.53677189292816,101.06247996660558,95.81227436823104,106.35304257891043,105.44652168297164,103.74907703386123,108.83303925238708,99.52744968116694,104.21267634863254,100.85882914646724,103.42667606761604,105.25013630570396,101.00574298209281,95.37210884579936,104.21611091442205,101.09373753552944,99.14165872231966,101.53527750264513,100.83056478405317,99.76047904191617
08/02,96.20761092015397,93.66368497747513,110.38824763903463,108.74138157600903,99.16756409726824,94.0166437439938,101.98226125410454,98.33083351450803,96.25426624477828,105.59967305787035,95.87020648967551,98.3703283532786,101.30765094620931,102.63959091962288,95.12554771518734,105.24123106085821,94.59647987430581,98.70888635847962,104.14745289074749,102.13767311674498,108.16802937867035,98.32055156313234,99.370606348028,107.28546929107232,100.48741432830033,94.30280096434383,103.43177827396642,99.22105993340053,95.42343701235323,89.70391538320321,97.45113850015606,91.88563307723814,102.17865612762644,96.88168465911431,101.0370221651757,99.4645668631373,97.03121157734029,94.70776578730982,98.83720930232558,96.02120191233598,100.45036533897299,99.46760742635729,104.44235492714684,102.61033472531041,105.79517605018776,103.20921173706547,101.46189447120553,100.45957844295334,95.66787003610109,102.51861060968454,105.82526920887125,103.81099452445606,105.16877827424986,93.89009632939175,102.21746023376966,99.45193456884121,102.42904391395061,105.04588345949293,99.2990373562567,94.45817923509252,101.71211356763583,97.87791029347855,95.45880344867386,101.07695966610093,98.83720930232558,95.80838323353294
08/03,95.8401264958586,94.22647163673183,107.4501573976915,106.26978910297136,98.19366766543894,93.35119839070784,100.90608973903596,101.05606038140822,95.5450383098998,105.28077807364689,95.28023598820059,97.9817958603072,99.44782199242808,102.32861641481803,94.18938874353903,103.4193058482157,94.73402374003676,98.55301870705681,100.37535604378573,104.0992718967609,108.49425626708424,97.91287167237311,97.18969280446116,106.45881625950173,100.05948587897377,93.63686462798678,102.52669644281993,104.50422309194265,96.25415080009783,93.367627285718,96.58242371988572,91.81881469030697,101.09913912965868,96.61624052261163,101.22621651654786,99.31191960364217,96.15221776129619,96.78139032199317,96.843853820598,96.68517905509741,101.5800306978917,97.58945338534653,103.31047131869747,101.48488028198611,103.01606599444094,101.5741904989174,103.76225222117839,100.64077125087334,94.51263537906136,100.97003316143463,105.2210506240453,103.7063758922737,107.49560162161582,96.84277072277271,108.42512253990878,99.16863529589746,102.0919505409883,103.01828529098877,97.7376082176282,93.94032942163983,100.68763746209184,100.46250903030469,96.30508904339045,104.9064456948081,96.843853820598,96.64670658682635
08/04,95.04639846344435,95.39971330524189,109.12906610703044,107.367569341392,97.42281317461556,93.97399442077116,101.78395171169912,99.86459562139113,96.02587807888611,104.21643176555757,94.98525073746312,97.99598704278127,98.80238887602147,102.89829506716555,102.5511793483171,104.23765520913975,93.33078345892551,98.38103936697924,99.92963029373152,102.89436776686527,107.28739828206031,98.32977425959183,102.54900473670021,107.04625418557374,100.81031538030155,93.91325079559469,106.5153020320233,102.12312696805499,96.19893308357885,93.483846359679,96.56907079316184,91.11775245227741,103.91389015181905,97.42684043014643,104.91041607641074,99.46645134156175,97.01083626230138,96.48253886393985,99.83388704318938,96.55702428566218,102.36154841286924,103.82835721784261,103.75209403392962,102.73671150532965,107.01835506884485,100.6922617499187,102.69036577313287,100.8653500718298,95.2346570397112,102.34363184360105,105.46474697270727,104.83026938299156,106.05749949301617,94.48221096763285,106.78697211385959,100.01151931925192,102.84411743739264,102.96735562214299,97.03332036452093,94.5383835345303,101.09864339223303,100.24198928384732,96.2504447870149,104.6474830199219,99.83388704318938,96.52694610778443
08/07,92.71450049270462,94.74603915484046,107.4501573976915,107.12214067324474,97.74493326008167,94.08730269729183,101.14363940592881,95.13281616846008,98.18851949092677,105.81525046888318,94.10029498525073,97.19385229886328,99.83989587910389,103.5230896782869,104.45765463610695,104.45185072087494,91.17139720841816,98.35278485953447,99.2040558501993,99.38969502020431,108.40180578141934,98.13614351800445,103.7253927931181,106.39055811127622,101.1361676243613,93.33501335824,107.11243189045881,97.60416078938346,93.50092964203903,93.04324904686524,96.72953170255437,86.82997486779703,103.83150147066233,97.58163110541568,105.65910172010713,100.93611853299636,100.04510208050634,95.57323712283043,100.33222591362126,93.18737632786494,104.21865076049461,104.85593174371853,101.22730700999047,102.86629119413891,103.11152035478084,100.19466787703308,98.55675344015464,101.31044856841804,96.31768953068593,100.90243654784288,105.61333758148538,104.22438045661299,103.21366651547964,86.1451000897552,104.730712815668,100.07599687706039,106.51387160785539,103.11528974800561,97.30808286509716,94.55665937901256,98.75359247196741,99.25087430256735,93.59760087964558,104.25727493709027,100.33222591362126,92.93413173652695
08/08,92.70289321815686,93.13475084304226,108.7093389296957,107.92771852767953,96.71829846351311,93.90877010142384,100.54058217926112,95.870859814327,97.2792197288347,104.01475424278092,92.92035398230088,96.257170206996,98.08841253033114,102.98201566733852,105.14398923426972,104.66962880084567,90.80313734098547,98.08758797841485,100.2802955960685,98.48559414321053,106.72503572064235,96.46261412513319,103.7844588295209,104.87273499262379,101.5950285553936,95.79102308516624,104.26588291580146,93.743261947858,94.12275286455711,92.45600637852803,95.41350561298844,88.52475936551886,103.5901911582395,96.36830410746799,107.55270347614747,100.48106597751325,97.75740195498796,94.14939659975511,99.83388704318938,93.86638177102743,101.85316054418776,104.68299248995388,102.24271717016016,103.86533115822671,102.58195363039317,101.41127732927133,98.32502755153973,101.26260076641603,97.1841155234657,100.90317666657444,106.3467962122259,105.30359465931647,100.6898881317605,86.59414856352907,104.18573451537443,98.55561870009767,105.66294540333978,101.68341662752789,96.02491967249478,94.32906989027974,99.64633197012442,98.88637665548403,94.19072806554922,105.34997201879438,99.83388704318938,93.77245508982035
08/09,94.96946463453627,93.96760404144001,106.61070304302203,106.04053082261356,97.81494299340785,92.6809196599182,101.61242452501563,97.73863577565787,97.29041329751247,105.6390213376448,93.80530973451327,96.88341243559049,98.31021230681718,103.16159609876439,103.19311546292802,103.3044015255755,91.78107222308142,97.33972006162796,101.15600200345405,97.96918503727574,107.57467777949373,95.77371081845236,103.77618452434085,101.077094519211,100.14025470008403,94.19050195710618,102.41978798093578,100.63934986780055,95.6371254619759,96.21812193682288,96.03607124394378,92.9094242112744,101.24376560567589,97.00670580455186,106.38480321268,99.70941730297045,98.1255852603738,99.54605106120343,102.32558139534885,94.61222150535063,102.04714421166103,102.13999462983591,101.73067911797217,104.06865603701998,103.68271255032533,101.35535545175856,98.2817096941474,100.25400289953859,96.24548736462094,101.69636906953934,106.26911539193644,105.79030253130937,101.28745878337793,88.74868503166395,110.88313682899471,99.78388677300029,105.67778567614671,102.43953558862098,97.86820498619015,93.24145042033697,99.01585830566421,110.01148527926883,95.6573862026906,110.19957708515287,102.32558139534885,94.49101796407186
