일자,ESG,LH,LNG,OLED,건설,게임,국제유가,금융자동화기기,니켈,대출,디지털 콘텐츠,매출,맥신,메리츠,바이오,반도체,방위산업/전쟁 및 테러,배터리,뱅크,벤처투자,보험,부동산,석유,셀트리온,수출,스마트홈,아파트,앱마켓,양극재,에너지,에코,유가,유류,육계,은행,이동통신,이차전지,자동차부품,전기차,제약업체,조선,주담대,중국기업,중소형,챗봇,철강,초전도체,카지노,태풍,토스증권,편의점,합병,항공기부품,해저,현대차,휴온스
07/31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
08/01,101.63967980996564,100.0364846708654,99.79886799735134,104.51788878068862,99.72192727597499,102.30280298130272,101.89324124437582,99.92612338050635,97.27704386537444,100.93036649814928,106.72715853948567,101.06287586436238,98.52129132463882,100.59502936114212,102.01928558659365,101.89382135532341,101.67890681458027,99.07586763721586,102.29824953208919,103.00686403940435,100.88046792828071,100.44155347238902,100.42841563901601,102.05395833168527,92.4812030075188,100.70543271252166,100.60525346995199,104.8823761733167,97.05246340897598,100.22382996096523,97.42705400298343,101.83114786514132,97.7022351425446,100.81317826528837,105.405332518802,101.50012277042582,97.61944895877873,99.66771035047395,99.7222600187392,99.09581909218603,102.70239113428225,98.80597014925372,101.9665809467887,100.66148062303412,104.57178117876713,101.20972807599826,97.47638277781454,100.86037548731204,100.73108706887848,103.28660120291144,102.38803244964313,102.02410954948617,100.13532430541032,98.05252317135957,101.29390235620801,101.56782145916338
08/02,99.60717887667495,99.52437825107731,96.83902129021702,103.33200634456314,98.60259754913542,100.24374949457464,101.87772731949545,103.50569860514263,92.07041617054374,101.21676935552748,104.25785541825951,100.6064842611905,95.65023804887677,100.85516383400825,99.73109466370302,100.12998968841413,100.47657392429461,96.50660428363872,101.56776208973983,100.91966780724056,100.783511934766,100.05229991720157,100.8573054137793,99.57502321977249,86.09022556390977,97.64458650910993,99.93924933155557,102.3359457756601,92.21763428848895,101.53318990708706,91.07855456445208,101.85360597195543,94.86413132255916,99.61370966503239,103.14396943494314,100.49222048990734,91.92440479259,95.90270933498661,96.85076661827812,96.67913207273261,100.99673285899587,97.01492537313433,101.58316556096452,100.02040723442627,100.48590544085705,100.24697811509526,92.72413066561687,99.62840698192952,97.60450064848101,102.74357657300537,102.46802711480694,99.55470324049388,100.48936311198595,94.4074282241188,97.63428546864773,100.15923039070888
08/03,99.58722238682208,99.40227070393027,97.30446184184248,101.86665794109213,97.52237692243052,98.47515980965072,100.931417395224,100.24448180156642,93.22246690764084,101.4388454354763,102.61448747617776,100.91306330837784,96.19693448061048,100.5500702477965,103.31385537661055,98.553497820406,98.38863673076439,96.86696971297647,101.66662472202755,100.02848797006725,99.89525845324093,99.49043413387984,102.76585122335185,103.25501466292235,88.1578947368421,96.51434499396642,99.3530517323972,101.97488219608152,93.26232124510639,99.19335126660187,93.20933136741623,100.65524863675674,96.86261873505374,99.426174837106,102.5638446620452,99.5230771163434,94.7163177559532,93.62512004189175,96.16370856441883,96.99847386898693,99.35304276001864,96.41791044776119,99.52744874637479,99.55160290696823,98.54634651427122,100.72043832869353,94.1130160271763,98.80590021844911,96.50086951818004,102.3426947962462,103.15826411213638,103.31042130490209,99.23663054432753,94.53641288027362,97.89138546643407,101.28015147046727
08/04,100.07324560341819,100.09071072154565,97.2151541438227,101.65040955005867,98.34871273332243,98.7127786246075,102.04748323554054,102.44389987635718,91.37952776254207,101.13406495793156,104.65778781029388,103.08263581136457,93.99741716837674,102.13906252251535,103.04824593564597,97.83632937152126,98.93324526748881,96.0332781933235,101.97989016524123,100.530029937573,101.37383442613279,99.55889476728295,102.48616628832077,102.89938865998319,87.59398496240601,95.71275866950828,99.97661936469245,100.21989609642571,91.17602382773812,98.4884987975267,92.03179054202944,101.90725532491338,95.94081633613177,100.33678171188679,103.20278528256017,100.3349400036237,93.21663055545848,93.6687590895488,94.99320735253757,97.1785459105595,99.94522431670507,96.11940298507463,96.61236234690661,99.6934067840179,103.1413510044558,100.4327303184103,91.80214531254171,101.0910095118972,95.58547547879613,103.17817433016397,104.1498036291387,102.9089395651382,100.04077462210346,92.85326698588369,97.96895157766991,101.75381613254628
08/07,98.65020605303127,100.17689783525927,94.07211802944066,102.75962798169549,98.09586729308796,100.28648578652215,102.13313700811915,105.7872562239273,83.17034975041967,101.23577525770217,105.33119449187305,103.79193417730173,90.38541922980495,102.23145319344712,101.85598891960626,98.07402658936498,97.74287719718319,91.45148824135806,103.44159002850913,101.49784102777868,102.58582045531335,99.09517813528682,105.55037073333612,101.62330922085125,87.78195488721805,95.23350943472731,100.44074629026356,101.42909281691124,83.17322675669442,97.91435049240333,83.05322035045495,102.06281187174486,92.07021466787766,101.06982439090373,104.21794313192075,101.62922252402542,85.26533694697669,91.75191296760984,92.03048741662509,96.27105905327674,97.95721066076615,95.22388059701493,95.27772741100281,99.50299918690747,100.66732176553049,98.49756500870483,83.93310823626244,102.07540064574971,95.13477898608743,105.61903061613411,104.4150899380135,101.70621467164216,100.07854701414382,86.20194860544585,95.55423394605307,101.8580275995753
08/08,98.39647889129463,99.68999072976614,94.73619816769792,102.30933045981101,97.4371169817004,98.18109468145256,102.37474042859236,105.98721358492725,83.77625930490215,100.37771235601215,104.51244820615997,102.05824229454852,88.49304301727362,103.16103613902479,101.10320015369092,96.77837544482767,97.87258980437176,92.93561447115026,103.18186259588227,98.88716629650668,103.34016660942933,99.65742844960698,103.6105339908396,100.67726612832853,86.09022556390977,94.51803270646519,99.69039201038774,99.57935777864736,83.65487945817665,98.8449151757874,83.00763670436848,103.22490598779228,91.84350202695013,100.22042209507447,103.5584578029725,100.48029238747107,85.63173893208025,90.27490104869703,92.25212788605525,95.59919822384462,99.51480580297701,94.02985074626866,94.94924974424349,99.45196385412392,101.03500858288315,97.00784125492531,84.14475810602843,101.18223241554445,94.50100368550191,105.08074245019347,106.63512553584604,100.68209204149383,98.32973397066328,86.13729043853286,95.9497300466239,100.78927249456643
08/09,100.30741926184487,100.28083709778201,94.21595328129779,102.95063750860614,98.64008386828988,98.47692870605655,102.30121878995155,105.0159450080392,85.1217962913356,101.03800598433675,103.34475524107025,102.0319472041897,88.36535689460642,102.95490382950936,105.69208824016496,98.63720454636585,97.47684472510348,96.83464398959222,102.34785736888368,99.25724161828532,102.31950625207253,98.71652630010881,103.46799094211809,105.47982142371484,85.71428571428571,96.63603275278338,99.41913029854274,101.40465503688678,85.15239729190324,99.21558646399377,83.72602359275886,103.45367350467957,91.78365640498814,101.59506736819652,102.49058060698171,102.6452562947757,87.68309391546886,91.1370860671315,94.28032433608422,97.99666775663252,98.96176520303054,94.92537313432837,96.06769104057187,99.28395870062926,102.46955106282314,98.6912859033085,85.5901500916082,100.42121184368513,96.61537556327396,104.68505646587725,111.05726094493002,105.61138155922687,98.60787924595671,87.28468755530892,96.98797032903514,104.66544413682037
08/10,101.35157045308527,100.66527768785767,94.6872612094782,102.71343538243845,98.39739231423549,98.3106707258755,103.83642318142125,101.91732445428569,84.02323407678317,101.37363651899143,103.56591270302009,102.13796430501942,86.72839176941137,101.53142397401713,106.9097452508201,97.34336056802991,96.94795998194718,97.27414631190285,101.35170338286761,99.44310511106559,101.3500304826694,97.15240110639465,104.89581160051083,106.93489962416581,89.47368421052632,94.18861688897384,99.4338575424619,101.69420589869614,84.37324616163954,97.42088569061147,82.27448984382838,105.03562265290753,91.91008974796665,102.71730703661326,101.69482020384184,102.06316652857217,87.80548854921136,90.91180369781347,94.36947694466325,98.84405208515274,99.98060374106127,97.01492537313433,96.78652400788205,99.80125740352942,99.4608336245849,98.13540931587977,84.83435548550567,114.68717777478248,94.03065659073499,104.5586647530417,113.54224954708818,106.67173832016645,99.60354486988565,85.99158075547977,96.29950959496762,109.85274528716131
08/11,101.21965122473522,101.68350463758229,94.65041143517806,102.73209717458327,100.1748109116541,99.77855481558284,103.20452134973182,102.44663090966147,81.43539153053095,101.44653883562505,103.35149114672558,102.4405143515146,85.95921679819547,102.46557196592391,107.53612293416721,96.70993878361408,98.0856148198835,96.2619776226374,102.1687516467894,99.5058858476152,101.90410563830017,97.87791302010504,103.91526960180799,107.50868070609224,90.97744360902256,95.96392068133079,100.10238264255045,100.85176196691965,81.89076108956282,97.77512166942218,78.85495434400693,104.3278975645102,91.91319421206028,103.07514611168318,101.6120527447363,102.38968116308256,84.89408998288711,93.51015661934198,94.1874691073991,99.59255533839337,100.08694989346003,97.31343283582089,96.65102320916247,100.60939534823999,100.99922687527265,97.63218541541768,82.57413884862491,115.38595142150567,95.7835378707423,105.21194637784978,113.00952758613334,107.3581726765983,102.21120528815624,83.97662199456659,97.81782769716676,111.36785468768831
